text,label,source_url,pre_labeled,notes
"What I wish will happen but probably won't: Faelights removed or nerfed. Tower crystals nerfed (crystals + plates combo causes grubs to be omega weak compared to drake). Homeguards nerfed. Bounty system reworked again - if a bounty can go from 700g to 0 in a single play without that person dying then it shouldn't be 700g to begin with. A game state can be dead even but one team will have 2k gold total worth of bounties. Baron reward buffed. Marksman on-hit item buffs (bork, terminus, wits are all weak; dnd is strong but only a small portion of its users are actual on-hit champions). Timewarp tonic + vision runes in domination tree removed and replaced by actually meaningful runes.",analysis,,TRUE,"BORDERLINE hot_take: balance wishlist, but several points carry specific reasoning."
"I think they need a full-on rework of the system, full stop, and I believe multiple devs agree. Melee mod Terminus so it fully stacks in 4 instead of 6 - the item should be built on Volibear, Yasuo, and Yone. Wit's End shouldn't be buffed, it needs to be reworked completely; it feels like an item only because of its legacy, and its passive of being the highest on-hit damage while statted as an anti-mage item is boring, plus it's an issue if the player also builds Terminus and Jak'Sho. Dusk and Dawn seems in a better spot when thought of as an AP Trinity Force; from what devs said it wasn't supposed to be an on-hit buy, it's that those who buy it have on-hit effects.",analysis,,TRUE,"Detailed multi-item rework reasoning with dev references."
"Rengar Q AD Ratio: 100% - 115% => 110% - 225%. Huh. That seems like a lot there riot.",hot_take,,TRUE,"BORDERLINE analysis: quotes a change but only reacts (seems like a lot)."
"Undocumented bugfix: Elise Venomous Bite will now properly reveal the target during the cast. In 14.19 a QoL where Venomous Bite would reveal the target was given, but this wasn't properly functional until now. There are two ways of putting vision; they used the wrong method where Elise revealed a small static vision bubble at the cast location, meaning the reveal was pointless and players could dash out of sight cancelling the Q. Now the vision is attached to the target and follows them rather than being static at the cast location.",analysis,,TRUE,"Detailed technical explanation of a bugfix mechanic."
"I really wish there were more ARAM Mayhem augment buffs instead of just nerfing what is good. A lot of augment choices have interesting designs but feel too underwhelming to justify taking them; Fetch, Gash, Mighty Shield, etc. Also, is Glass Cannon really only getting +3% damage dealt and no other changes? It's the worst augment in the mode by far. Compare it to Giant Slayer: Glass Cannon is +15% damage, -30% health, can't use BT shield; Giant Slayer is +10/15/25/30% damage based on size, smaller hitbox, +30% movement speed.",analysis,,TRUE,"BORDERLINE hot_take: data-heavy augment comparison, opens with a wish."
"Unless you're a split pushing champ (Tryn) don't go TP top. Use ignite and snowball your lane. You aren't a pro nor in an elo where TP helps you secure drags or barons. Don't ever feel the need to help a teammate out of fear of being flamed - many times you go to help when you shouldn't because he's dead no matter what, and you end up giving the other team a double kill. Master 1-2 champs and don't fall into the meta hype. When you get a lead in your lane use it to make other lanes get a lead. Don't play a champ because a website says it's the counter - play what you're comfortable with.",analysis,,TRUE,"BORDERLINE hot_take: structured climbing/coaching advice with reasoning."
"You say people in plat+ will never understand why people can't crawl out of bronze/silver. I'm sorry but that's such bullshit lol. I'm plat V and I've played 15 games on my friend's account, who was bronze 1 at the time, to get him to silver. It's so goddamn easy to carry at that elo, I can't even comprehend why people complain about elo hell. Once you actually get a single bit of skill you'll change your mind and carrying will become so easy. The amount of mistakes bronze 1/silver V players make is ridiculous.",hot_take,,TRUE,"BORDERLINE rant: dismissive elo-hell argument backed by an anecdote."
"Get gud! If I can maintain 100% winrate at your mmr no matter how bad my teammates are, you also can. If you lose so much, then you didn't carry hard enough.",hot_take,,TRUE,"BORDERLINE rant: dismissive git-gud take."
"Top laners should be able to hard carry 1v9 if they win their 1v1, but they should never get counterpicked nor ganked by the enemy.",hot_take,,TRUE,"Likely sarcastic mocking of top-laner entitlement."
"After being hardstuck gold for the last 4 or 5 seasons, I have finally reached emerald. I'm aware I'm struggling to win now because my rank is accurate. I'm a top main transitioning to jungle (Yi, Kha'Zix, picking up Zac) because I wanted more direct impact. I think I'm reasonably good at CSing and warding and don't get terrible KDAs, but my ability to pick out fights and openings is terrible and I struggle to impact fights, usually dying before I can do anything. This leads to me dealing little damage even with good KDAs - sometimes as a jungler/toplaner I deal less damage than supports. I'm just looking to improve.",analysis,,TRUE,"Personal improvement reflection with self-analysis; reviewer may want to drop as off-topic."
"It's sad to me that people who troll and babyrage/int in games are usually grown ass adults.",rant,,TRUE,"BORDERLINE hot_take: lament about toxic adults."
"And that's when you should remember that no one truly ever grows up, and all adults are just kids pretending.",hot_take,,TRUE,"Thin philosophical opinion."
"What's there to expose, there are grown ass adults who act like manchildren and they don't even play games at all! It's just a feature of society and consequently internet culture at this point. The issue definitely isn't helped by streamer culture though, yeesh.",rant,,TRUE,"BORDERLINE hot_take: frustrated commentary on community toxicity."
"Had a trolling Kai'Sa in my last game who ran it down after 2 deaths, blaming the jungler. Idk what it is that turns seemingly normal people into completely unreasonable, incorrigible babies. Legit the fucking Shaclones and DarkwinJax's of the community seem to just flip a switch in their heads in game and become the most toxic douchebags ever.",rant,,TRUE,
"It's sad to me people actually care for soloq. Imagine trying to carry people below your skill to reach an icon showing you carried people below that skill. Flex is by far the superior mode, sadly it's more of a troll queue. Imagine pro teams playing flex to train - the flex environment would be amazing high elo where you and your friends actually play competitive ranked. But egoistic people made flex a fun/troll queue and now cry about soloq being toxic. Wow.",hot_take,,TRUE,"BORDERLINE rant: opinion that flex > soloq wrapped in frustration."
"If I lose to enemy laner, even 0-3, I won't get mad. I get mad when the enemy team is just miles better than mine, always on time, always making good decisions. I feel powerless in that situation and it's an undeserved loss - that's where most of the negativity of league comes from.",rant,,TRUE,"Feeling-driven reflection on what makes losses tilt him."
"The most frustrating thing in lane for me is having to play against characters that force you to play around a gimmick. Maybe I'm just bad (I definitely am) but I can't stand having to play into champs like Illaoi where I'm constantly having to dodge to clear out tentacles. It's not even a matter of if I lose lane or not, it's frustrating either way.",rant,,TRUE,
"Dodging because a troll or noob team picks a clearly losing draft shouldn't be punished.",hot_take,,TRUE,
"Game punishes players that know more about the game and allows trolls and noobs to play and ruin games.",hot_take,,TRUE,"BORDERLINE rant: grievance phrased as a debatable claim."
"Yeah I get the idea but how can the game ever determine what a troll pick is. Sure Soraka JG could be considered, but there's also a lot of off picks like Swain adc or Shen support that aren't classed in that role but work.",analysis,,TRUE,"Reasoned counterpoint about defining troll picks, with examples."
"My barometer for this is always Vayne top. If it's blind pickable, it's too strong. I completely get the mid lane second wind Doran's shield point - I hate the Akali matchup as Viktor, and guess what makes her able to sustain through it?",analysis,,TRUE,"BORDERLINE hot_take: balance heuristic + matchup reasoning with a bit of emotion."
"Most people ""ranting"" about ranged top are usually of the position that ranged tops should never be viable period, they offer absolutely absurdly bad solutions and people push back very rightfully.",hot_take,,TRUE,"BORDERLINE analysis: meta-commentary opinion about the discourse."
"I literally do not understand the arguments against ranged top laners lmao, it's like saying there shouldn't be zoners in a fighting game or ANY fighting game. It's a stupid opinion and would make the game feel more stale.",hot_take,,TRUE,"Dismissive opinion with an analogy."
"I am a top laner and tried to play both sides of the ranged top matchup. The problem isn't just how strong they are, it's how unfun and uninteractive it is for everyone, often including the ranged top players themselves. For the countered melee champ, the solution is usually 'sit back till lv 4/lv 6/a gank before you all-in', and the popular ranged tops build tanky, bring exhaust, have cc or escape specifically to stop you from doing anything, making the lane boring. If you mess up a trade or die, you get your wave frozen and can't do anything. For the ranged top players, these champs are hard to pilot; one mistake and they're a glorified ranged minion playing 4v5 while the enemy melee top becomes a raid boss. Even if the ranged top plays perfectly, is it fun to just cs and play keep-away for 15 min? The game plan is specifically to not interact with the other laner.",analysis,,TRUE,"Long, structured both-sides argument about why ranged top is unhealthy."
"Been saying dorans shield and second wind had to be nerfed because of melee mids being unmoveable from lane, but people keep saying they need buffs - they can't unless you want mages suffering midlane, all it does is move the problem. My honest answer: give the toplane quest a buff where melees get hp regen when taking damage from ranged attacks, so you don't need to buff dorans/second wind and instead tweak the quest. Quests are the perfect thing to balance each lane in a way that doesn't affect other lanes - I'd do something similar with the botlane quest to help adcs against mages just for laning.",analysis,,TRUE,"Structured balance reasoning with a lane-specific proposal."
"Hate to say it, but lowkey top laners brought the state of top laners upon themselves. They cried about jungle presence top lane to the point where Riot made it 100x harder to gank than bot lane - a single ward at 2:30 saves you from 9/10 early ganks. So now top has this 1v1 island while having less impact than a lane that's consistently 2v3/3v3 in high elo. It's not entirely the consequence of their complaints though; TP is pro-jailed way too hard imo and Doran's Shield/Second Wind could use a buff. Ranged tops benefit the most from all the changes since their major weaknesses (no TP for later, getting caught overextending) were addressed, and they accelerate their role quest faster.",analysis,,TRUE,"BORDERLINE hot_take: detailed historical/balance argument, opens with a bold claim."
"Ranged tops show up as a symptom of something in the overall system being unbalanced. The actual reason is the durability patch changing breakpoints so ranged top laners need to make 2 mistakes before they die instead of 1 like it's supposed to be. This issue was bandaided by giving melees wind/dshield instead of actually admitting the durability patch was a mistake.",analysis,,TRUE,"Causal reasoning about the durability patch and breakpoints."
"For real, it's the perfect storm this season of our tools against it being crippled and the rewards for snowballing being the most they've ever been. Not sure how people see regular 5k gold leads in a single lane in pro games and act like this isn't the most volatile the lanes have ever been. Until you get to Diamond they can't play ranged well enough to cause the carnage it is in high elo, so most people won't see an issue.",analysis,,TRUE,"Reasoning about snowballing/volatility with specifics."
"Autofill jgs should not be a thing. Games feel miserable once the jungle main starts abusing the autofilled jungler all game and taking every objective for free.",rant,,FALSE,"Autofill complaint."
"I would rather wait 5 minutes in queue than have someone autofilled and griefing the game because they got a role they hate.",rant,,FALSE,"Queue time vs autofill frustration."
"I queue mid every game and somehow end up jungle constantly. Then I'm expected to play against someone with thousands of games on the role.",rant,,FALSE,"Autofill frustration."
"Top lane at its worst is genuinely the worst video game experience I've ever had. One mistake and your lane is over for the next twenty minutes.",rant,,FALSE,"Top lane frustration."
"I want to love jungle, but having three lanes die before Scuttle even spawns makes me want to stop queueing the role.",rant,,FALSE,"Jungle player frustration."
"As an ADC, it feels like a coin flip whether your support is actually a support main or someone autofilled and completely lost.",rant,,FALSE,"Bot lane frustration."
"Supports who roam and never come back make lane completely unplayable. At some point I'm just playing a 1v2 survival simulator.",rant,,FALSE,"Roaming support complaint."
"I'm tired of losing LP because someone types 'autofilled top' in champion select and mentally gives up before the game even starts.",rant,,FALSE,"Ranked frustration."
"Every ranked game feels like a slot machine now. Whoever gets the worse autofilled player usually loses.",rant,,FALSE,"Matchmaking complaint."
"The amount of responsibility jungle has is ridiculous. Every lost lane somehow becomes the jungler's fault.",rant,,FALSE,"Jungle blame frustration."
"Mid gets solo killed? Jungle diff. Top dies to a gank with no wards? Jungle diff. Bot loses a 2v2? Jungle diff. I'm so tired of it.",rant,,FALSE,"Jungle blame rant."
"I'm sick of getting autofilled into jungle just because nobody wants to play the role.",rant,,FALSE,"Role popularity complaint."
"The fact that people dodge lobbies the second they get autofilled says everything about how bad the system feels.",rant,,FALSE,"Autofill dissatisfaction."
"I hate spending ten minutes in queue only to get a game decided by an autofilled support versus a support main.",rant,,FALSE,"Support role complaint."
"Playing ADC feels awful when your support disappears for three minutes and the enemy bot lane gets to dive you repeatedly.",rant,,FALSE,"Bot lane frustration."
"I don't care what Riot says, autofill makes ranked feel less competitive every season.",rant,,FALSE,"Ranked integrity complaint."
"I'm tired of being told queue times would be longer. I'd rather wait than play another game with three autofilled players.",rant,,FALSE,"Queue time complaint."
"Nothing tilts me more than seeing someone first-time a champion because they got shoved into a role they never play.",rant,,FALSE,"Autofill consequence complaint."
"League matchmaking feels awful when the outcome is determined by who got the less experienced off-role player.",rant,,FALSE,"Matchmaking frustration."
"I'm so tired of Riot treating autofill like a necessary evil instead of fixing the reasons nobody wants to play certain roles.",rant,,FALSE,"Role popularity complaint."
"I'm sick of getting matched against duos while trying to climb solo. The coordination gap is obvious.",rant,,TRUE,"Complaint about matchmaking."
"The amount of burst damage in ARAM makes the mode feel less fun every year.",rant,,TRUE,"Complaint about ARAM balance."
"I hate when people lock in off-meta picks and then act surprised when the game goes badly.",rant,,TRUE,"Complaint about teammates."
"I'm tired of spending more time in queue, champion select, and loading screen than actually playing a match.",rant,,TRUE,"General frustration."
"The ranked experience would improve overnight if Riot found a better way to deal with griefers.",rant,,TRUE,"Complaint about disruptive players."
